宮城県,石巻市,アイアートシステム,その他業種,ー,5%
宮城県,石巻市,愛情たらこのみなと,小売業,食料品,5%
宮城県,石巻市,ＡｃｔｉｖｅＬｉｆｅ?ＹＡＤＯ?,サービス,宿泊業,5%
宮城県,石巻市,Ａｇｕ ｈａｉｒ Ａｇｕ ｈａｉｒ ｇｒｏｗ石巻蛇田,サービス,理容・美容業,5%
宮城県,石巻市,味彩絆本店,サービス,飲食業,5%
宮城県,石巻市,味道一平,サービス,飲食業,5%
宮城県,石巻市,あ．たのも,サービス,その他サービス,5%
宮城県,石巻市,鮎川ＳＳ,小売業,ガソリンスタンド,2%
宮城県,石巻市,アラキデンキ,小売業,電化製品,5%
宮城県,石巻市,蟻坂デンキ,小売業,電化製品,5%
宮城県,石巻市,アロマテラピーハウスｎａｄｅｎａｄｅ,その他業種,ー,5%
宮城県,石巻市,石川 食 石川,サービス,飲食業,5%
宮城県,石巻市,セブン－イレブン石巻あゆみ野店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻大街道南店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻鹿妻店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻門脇二番谷地店,小売業,食料品,2%
宮城県,石巻市,石巻河北ＳＳ,小売業,ガソリンスタンド,2%
宮城県,石巻市,セブン－イレブン石巻向陽町店,小売業,食料品,2%
宮城県,石巻市,石巻国道ＳＳ,小売業,ガソリンスタンド,2%
宮城県,石巻市,セブン－イレブン石巻河南インター店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻しらさぎ台店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻水明町店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻貞山１丁目店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻中里５丁目店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻湊筒場店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻南中里３丁目店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻吉野町２丁目店,小売業,食料品,2%
宮城県,石巻市,セブン－イレブン石巻渡波店,小売業,食料品,2%
宮城県,石巻市,一本堂 石巻あけぼの店,小売業,食料品,5%
